"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","wine_quality","wine_quality_num","P"
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6,"good",1,0.5532741119058
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,"good",1,0.578240924250171
7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,6,"good",1,0.71954340381432
6.8,0.22,0.24,4.9,0.092,30,123,0.9951,3.03,0.46,8.6,6,"good",1,0.261550493354471
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6,"good",1,0.5532741119058
7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,5,"bad",0,0.511355967596113
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,"good",1,0.578240924250171
7.2,0.24,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,6,"good",1,0.548958868148474
6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1,5,"bad",0,0.344571826169189
6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,7,"good",1,0.966885062105286
6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,5,"bad",0,0.667687359851992
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8,"good",1,0.802937616887362
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,"bad",0,0.517129260138208
6.2,0.27,0.43,7.8,0.056,48,244,0.9956,3.1,0.51,9,6,"good",1,0.380474184607446
6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5,"bad",0,0.351759426668918
6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,5,"bad",0,0.491340184279021
8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1,6,"good",1,0.308016764723955
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8,"good",1,0.802937616887362
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,"bad",0,0.517129260138208
7.1,0.18,0.36,1.4,0.043,31,87,0.9898,3.26,0.37,12.7,7,"good",1,0.931384109273516
7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,7,"good",1,0.906094947575185
7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,5,"bad",0,0.447916308565533
6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,5,"bad",0,0.423254516944263
6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,6,"good",1,0.818120746257596
7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,6,"good",1,0.774254390847923
7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,5,"bad",0,0.550203370413074
7.3,0.22,0.3,8.2,0.047,42,207,0.9966,3.33,0.46,9.5,6,"good",1,0.475497197737202
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,"bad",0,0.590052388967789
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6,"good",1,0.583782234474903
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6,"good",1,0.524626405340022
6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,6,"good",1,0.733536214315819
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,"bad",0,0.590052388967789
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6,"good",1,0.583782234474903
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6,"good",1,0.524626405340022
6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,5,"bad",0,0.38190886163635
6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7,"good",1,0.927539080137681
6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,7,"good",1,0.934927675153302
7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,7,"good",1,0.831040242109037
7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,6,"good",1,0.524891624606706
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,"good",1,0.64876432735884
8.6,0.265,0.36,1.2,0.034,15,80,0.9913,2.95,0.36,11.4,7,"good",1,0.718617479166584
9.8,0.36,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1,4,"bad",0,0.696807108119128
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,"good",1,0.64876432735884
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,"bad",0,0.549321918432382
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5,"bad",0,0.763833118767143
6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,5,"bad",0,0.609892887838247
7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,5,"bad",0,0.534700922992501
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,"bad",0,0.549321918432382
7.3,0.13,0.32,14.4,0.051,34,109,0.9974,3.2,0.35,9.2,6,"good",1,0.715142944552581
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5,"bad",0,0.763833118767143
7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6,"good",1,0.725479009047488
7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6,"good",1,0.725479009047488
6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3,5,"bad",0,0.639418464182612
6.5,0.17,0.54,8.5,0.082,64,163,0.9959,2.89,0.39,8.8,6,"good",1,0.353348868574625
7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,5,"bad",0,0.49230522271492
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5,"bad",0,0.496754275214978
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5,"bad",0,0.423138855670855
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5,"bad",0,0.423138855670855
5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,4,"bad",0,0.333302023104259
6,0.31,0.24,3.3,0.041,25,143,0.9914,3.31,0.44,11.3,6,"good",1,0.809055326670029
7,0.14,0.4,1.7,0.035,16,85,0.9911,3.19,0.42,11.8,6,"good",1,0.808993845138317
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5,"bad",0,0.496754275214978
7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,5,"bad",0,0.502406825364904
5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,5,"bad",0,0.645735678071713
7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,5,"bad",0,0.407217185523805
7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,5,"bad",0,0.571073515241254
6.9,0.19,0.28,5,0.058,14,146,0.9952,3.29,0.36,9.1,6,"good",1,0.306991232435236
6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,6,"good",1,0.480580005090469
6.7,0.19,0.36,1.1,0.026,63,143,0.9912,3.27,0.48,11,6,"good",1,0.865999330220931
7.4,0.39,0.23,7,0.033,29,126,0.994,3.14,0.42,10.5,5,"bad",0,0.708016504955314
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7,"good",1,0.654208902714337
6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7,"good",1,0.796966962390598
6.1,0.3,0.56,2.7,0.046,46,184,0.9924,3.31,0.57,10.9,6,"good",1,0.790741469579281
5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5,"bad",0,0.860364351481171
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7,"good",1,0.654208902714337
6.5,0.425,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9,5,"bad",0,0.581600514630818
6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,5,"bad",0,0.689185913205923
6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9,5,"bad",0,0.472693535561914
6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,5,"bad",0,0.779200738625548
8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,6,"good",1,0.728663067064508
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5,"bad",0,0.495933041018408
6.8,0.19,0.36,1.9,0.035,30,96,0.9917,3.15,0.54,10.8,7,"good",1,0.784800792900514
8.1,0.28,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,6,"good",1,0.822496481027749
6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,5,"bad",0,0.626677120953652
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5,"bad",0,0.495933041018408
7.9,0.21,0.4,1.2,0.039,38,107,0.992,3.21,0.54,10.8,6,"good",1,0.835582580759196
8.5,0.21,0.41,4.3,0.036,24,99,0.9947,3.18,0.53,9.7,6,"good",1,0.647442293821187
8.1,0.2,0.4,2,0.037,19,87,0.9921,3.12,0.54,11.2,6,"good",1,0.805702135908274
6.3,0.255,0.37,1.1,0.04,37,114,0.9905,3,0.39,10.9,6,"good",1,0.711754628885199
5.6,0.16,0.27,1.4,0.044,53,168,0.9918,3.28,0.37,10.1,6,"good",1,0.610082793393261
6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,4,"bad",0,0.370667361882753
6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,7,"good",1,0.930595852785791
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6,"good",1,0.312833959994819
7.9,0.22,0.38,8,0.043,46,152,0.9934,3.12,0.32,11.5,7,"good",1,0.861255652186784
7.6,0.18,0.46,10.2,0.055,58,135,0.9968,3.14,0.43,9.9,6,"good",1,0.637909116496643
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6,"good",1,0.312833959994819
7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,5,"bad",0,0.740440378148675
8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,6,"good",1,0.607575304866878
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,"good",1,0.411195745369376
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,"good",1,0.411195745369376
6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7,"good",1,0.905244908676622
5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8,"good",1,0.882705443477491
5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8,"good",1,0.882705443477491
6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7,"good",1,0.905244908676622
6.4,0.22,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1,5,"bad",0,0.37359913773458
6.3,0.36,0.3,4.8,0.049,14,85,0.9932,3.28,0.39,10.6,5,"bad",0,0.657026663296679
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,"good",1,0.411195745369376
6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,5,"bad",0,0.698717579480136
7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,5,"bad",0,0.740517717566626
8.4,0.27,0.46,8.7,0.048,39,197,0.9974,3.14,0.59,9.6,6,"good",1,0.465531331729598
6.7,0.46,0.18,2.4,0.034,25,98,0.9896,3.08,0.44,12.6,7,"good",1,0.903181796532096
7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,5,"bad",0,0.36628495837415
9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,5,"bad",0,0.57743736903772
7.1,0.3,0.46,1.5,0.066,29,133,0.9906,3.12,0.54,12.7,6,"good",1,0.873489314193437
7.9,0.19,0.45,1.5,0.045,17,96,0.9917,3.13,0.39,11,6,"good",1,0.748837813589622
7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,4,"bad",0,0.777743960360596
6.3,0.22,0.43,4.55,0.038,31,130,0.9918,3.35,0.33,11.5,7,"good",1,0.862305348379098
7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2,5,"bad",0,0.729661913269229
6.9,0.23,0.4,7.5,0.04,50,151,0.9927,3.11,0.27,11.4,6,"good",1,0.841060729777441
7.2,0.32,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6,4,"bad",0,0.914304361036135
5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,5,"bad",0,0.595804326660106
6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,4,"bad",0,0.176385490388005
6.4,0.25,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,6,"good",1,0.52595744106387
6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6,"good",1,0.499583026636755
7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2,5,"bad",0,0.321961884332651
6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5,"bad",0,0.518519513355935
6.9,0.27,0.4,14,0.05,64,227,0.9979,3.18,0.58,9.6,6,"good",1,0.68999852457989
6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3,5,"bad",0,0.633875422355403
6.8,0.29,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3,5,"bad",0,0.602378605975237
6.7,0.24,0.41,9.4,0.04,49,166,0.9954,3.12,0.61,9.9,6,"good",1,0.73706342656416
5.9,0.3,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11,5,"bad",0,0.726079756206124
6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,8,"good",1,0.951755703656842
6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,4,"bad",0,0.394718455860451
6.6,0.28,0.28,8.5,0.052,55,211,0.9962,3.09,0.55,8.9,6,"good",1,0.414051305992879
6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5,"bad",0,0.518519513355935
6.8,0.28,0.36,8,0.045,28,123,0.9928,3.02,0.37,11.4,6,"good",1,0.809205162756363
6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,5,"bad",0,0.651889807460891
6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,5,"bad",0,0.374711311637093
6.4,0.3,0.45,3.5,0.197,76,180,0.9942,3.02,0.39,9.1,6,"good",1,0.362063479526634
6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,5,"bad",0,0.348101289107215
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5,"bad",0,0.364431589808131
7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5,"bad",0,0.458200008738405
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5,"bad",0,0.364431589808131
6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,5,"bad",0,0.652249843952373
7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5,"bad",0,0.458200008738405
6.9,0.54,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6,5,"bad",0,0.637697058405719
6.8,0.26,0.34,13.9,0.034,39,134,0.9949,3.33,0.53,12,6,"good",1,0.961263504308622
5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,4,"bad",0,0.681483496251936
6.4,0.21,0.5,11.6,0.042,45,153,0.9972,3.15,0.43,8.8,5,"bad",0,0.49556199265214
7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5,"bad",0,0.506266916580989
10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,4,"bad",0,0.513476750441041
6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,5,"bad",0,0.660235096643631
6.1,0.4,0.31,0.9,0.048,23,170,0.993,3.22,0.77,9.5,6,"good",1,0.512343843906664
5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,5,"bad",0,0.779806515849733
6.8,0.18,0.38,1.4,0.038,35,111,0.9918,3.32,0.59,11.2,7,"good",1,0.849427443370936
7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5,"bad",0,0.506266916580989
6.7,0.13,0.29,5.3,0.051,31,122,0.9944,3.44,0.37,9.7,6,"good",1,0.650782344088774
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7,"good",1,0.797396718305674
5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5,"bad",0,0.509397933690953
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5,"bad",0,0.654466717049613
5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5,"bad",0,0.509397933690953
5.7,0.28,0.24,17.5,0.044,60,167,0.9989,3.31,0.44,9.4,5,"bad",0,0.674842077608748
7.5,0.23,0.36,7,0.036,43,161,0.9938,3.04,0.32,11,5,"bad",0,0.667994037066962
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5,"bad",0,0.654466717049613
7.2,0.685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,6,"good",1,0.283905678091406
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7,"good",1,0.797396718305674
6.5,0.19,0.3,0.8,0.043,33,144,0.9936,3.42,0.39,9.1,6,"good",1,0.409706153466017
6.3,0.495,0.22,1.8,0.046,31,140,0.9929,3.39,0.54,10.4,6,"good",1,0.641973952274549
7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5,"bad",0,0.648973841003361
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6,"good",1,0.591604158972288
7.1,0.25,0.32,10.3,0.041,66,272,0.9969,3.17,0.52,9.1,6,"good",1,0.508162875227798
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6,"good",1,0.591604158972288
7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5,"bad",0,0.648973841003361
6.8,0.64,0.08,9.7,0.062,26,142,0.9972,3.37,0.46,8.9,4,"bad",0,0.419357478420227
8.3,0.28,0.4,7.8,0.041,38,194,0.9976,3.34,0.51,9.6,6,"good",1,0.431955567278838
8.2,0.27,0.39,7.8,0.039,49,208,0.9976,3.31,0.51,9.5,6,"good",1,0.422838568809956
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,"good",1,0.595267004144254
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,"good",1,0.595267004144254
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,"good",1,0.595267004144254
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,"good",1,0.595267004144254
6.8,0.52,0.32,13.2,0.044,54,221,0.9972,3.27,0.5,9.6,6,"good",1,0.707673480363115
7,0.26,0.59,1.4,0.037,40,120,0.9918,3.34,0.41,11.1,7,"good",1,0.838169178195338
6.2,0.25,0.21,15.55,0.039,28,159,0.9982,3.48,0.64,9.6,6,"good",1,0.801119650141538
7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7,5,"bad",0,0.485678886868414
7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,5,"bad",0,0.776064041929246
7.1,0.21,0.37,2.4,0.026,23,100,0.9903,3.15,0.38,11.4,7,"good",1,0.889556187980805
6.8,0.24,0.34,2.7,0.047,64.5,218.5,0.9934,3.3,0.58,9.7,6,"good",1,0.696632434341969
6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5,"bad",0,0.482147111425353
6.1,0.18,0.36,2,0.038,20,249.5,0.9923,3.37,0.79,11.3,6,"good",1,0.744808286574836
6.8,0.21,0.27,2.1,0.03,26,139,0.99,3.16,0.61,12.6,7,"good",1,0.923121775434199
5.8,0.2,0.27,1.4,0.031,12,77,0.9905,3.25,0.36,10.9,7,"good",1,0.758404727932943
