SYMBOL,ACHROMOSOME,normal1,normal2,normal3,normal4,normal5,normal6,normal7,cancer1,cancer2,cancer3,cancer4,cancer5,cancer6,cancer7
HIPK3,11,48.2,319.2,288.1,39.9,342.5,17.6,363.4,40.4,40.3,6.3,28.6,15.4,56.5,63.1
TOP1,20,747.3,802.9,520.3,469.3,1487.9,707,1005.4,2016.2,1489.4,1801.5,304.9,831.3,1520.2,853.9
SRPK1,6,99.6,44.5,95.9,167.6,563.7,244.8,209.2,724.7,567.1,267.9,54.8,104.8,291.5,338.2
CXCR2,2,359.6,2602.6,586.7,767.2,3125.8,2064.6,1860.2,503.7,453.7,430.8,395.2,430.6,449.9,440.7
CXCR2,2,179.4,679.6,137.8,45.2,232.4,448.5,249.7,235.1,112.9,19.4,179.5,86.3,128,47.2
TIMP3,22,138.6,1097.1,1217.5,336.2,1250.1,755.8,934,241.5,463.3,198.5,191.8,382.3,275.7,332
TIMP3,22,197.7,1688.7,342.4,607.4,1868.5,1073.5,757.5,180.7,440.5,263.6,182.5,431.2,169.5,333.2
IL15,4,33.4,136.6,21.5,167.3,56.9,291.2,92.8,4.8,3.6,18.8,89.6,64.2,19,31.6
BAGE,21,14.9,149.6,763.7,327.6,571.4,654,221.5,5,4.4,2.9,10,40.1,7,18.4
IFNGR1,6,237.6,260.2,40.5,31.6,287.9,242.6,123.6,480.9,1342,1506.4,126.9,771.3,253.6,282.6
HIF1A,14,252,318.7,260.9,215.2,332.8,151.6,85.1,306.6,724,398,115.9,288.6,405.2,209.2
THBS4,5,203.1,128.9,479.7,32.2,148.2,288.2,175.1,30,14.5,951.2,277.6,37.1,64.3,316.3
ABI2,2,187.8,86,529.7,74.6,84.7,238.9,85.3,161.4,61.4,75.3,161.6,23.1,81.7,105.7
EFNA5,5,57.6,127.6,180.2,40.7,819.8,696.8,550.3,44.4,112.9,70.7,61.8,50.6,85.9,6.4
RARRES1,3,5.1,9.1,34.7,6.2,58.5,101.5,14.8,31.3,3,9.3,15.6,42.7,3.8,6.1
RAD52,12,62.2,238.7,255.9,394.6,329.3,196.3,359.5,101.9,93.7,115.2,88.3,132.8,77.6,55.7
E2F5,8,388.3,512.1,594.2,168.4,906.1,342.2,127.4,1087.4,377,331.7,358,166.6,215.4,203.6
RELA,11,18.9,41.7,86.6,157.8,75.3,130.5,104.7,42.8,167.3,7.7,4.3,83.1,133.3,11.2
IFIT5,10,163.7,515.6,372.5,223.7,629.7,117.1,182.8,123,261.8,137.2,73.2,230.4,168.2,66
NA,NA,614.2,600.5,96.7,406.8,284.1,186.4,268.8,364.7,1077.4,407.2,770.8,405.3,918.2,592.8
RXRG,1,135.2,567.1,287.8,203.8,684,569.9,203.6,75.4,107.5,60.3,74.7,104.8,74.4,97.8
RXRG,1,174.1,180.4,118.7,60.1,324.7,355.7,420.3,37.4,103.6,49.7,94,67.4,36,38.6
POU6F1,12,181.3,582.2,1809.7,321.3,867.8,475.4,565.8,135,139.3,63.7,42.2,186.5,127.3,77.1
MLANA,9,6.5,12.8,19.3,40.7,26.3,66.1,99.8,6.3,2.9,21.7,32.1,61,3.9,11.1
MLANA,9,124.5,363.3,150.1,282.2,1116.7,721.6,584.1,17.5,86.4,56.6,25.5,34.7,58.9,52.6
CEBPD,8,654.2,631.4,58,64.5,275.4,277,387.2,352.9,336.3,809.5,593.5,6372.4,281.8,176
RFC2,7,74.6,38.3,328.6,108.9,22.5,33.1,47.4,128.9,133.6,35.6,56.2,11,116.8,117.8
RFC4,3,207.1,172.6,40.5,23.4,365.7,104.4,290.7,390.7,482.4,120,108.6,11.2,181.9,89.7
RFC4,3,1804.5,134.4,44.5,301.4,545.8,378.9,354.5,3739.5,1416.8,822.6,1819.9,196.3,755.5,372.6
IL16,15,72.3,375.4,65.6,11.6,523.9,299,225.3,43.5,69.9,73.4,37.6,74,20.7,10.2
CRABP2,1,149,661.6,320.9,217.2,570.2,417.2,234.1,120.8,157.6,170.4,69.6,150.5,100.1,83.9
WASF3,13,112.4,72.3,178.1,32.2,134.6,100.7,247.1,355.8,612.5,610.5,105.7,574,1364.3,61.1
NTRK3,15,34.8,450.7,79.8,24.7,613.9,354.8,338.6,42.2,53,14.2,35.9,82.4,25.2,62.1
NR1I3,1,47,367.9,69.4,63.6,402,124,204.9,32.1,27.7,6.4,5.3,49.3,70.3,50.7
NTRK3,15,52.4,133.8,378.9,213.6,258.2,420.8,389.2,125.5,117.3,23.6,101,244.5,67,96.9
IL10RA,11,32.6,499.8,159.7,277.7,192,213.5,304,124.4,118.7,118,45.9,210.8,59,31.6
IL10RA,11,219.8,92.7,2158.6,176.2,364.9,290.2,95.3,16.3,57.8,159.5,122.6,349.1,32.5,94.5
TYRO3,15,583.1,175.3,235.1,191.7,220.6,527.1,235.5,678.3,48,312.3,453.1,59.6,607.6,427
TWF1,12,251.4,90.9,220.8,236.7,176.7,213.7,192.1,316.4,998.2,576.2,117.5,210.7,645.7,506.5
FLT3,13,90.5,399.8,389.6,336.2,1084.1,294.6,187.6,75.4,65.5,100.7,106.3,187.4,106.2,149.3
IL12RB1,19,69,371.7,537,19.1,165.5,111.4,65.3,8.2,30.6,47.3,37.4,47.3,87.1,62.2
FLT3LG,19,114.5,192.2,363.1,184.1,590.4,180.8,272.2,39.5,45.3,109.5,79.5,178.7,58.3,69.6
FLT3LG,19,53.5,272,265.4,51,230.5,146.8,154.9,74.2,195.2,57.8,29.7,43.2,101.9,109.2
PTGS2,1,49.7,62.2,75.6,26.3,580.6,24.1,63.2,215.8,31.6,4.7,4.3,690.8,7,33.2
RUNX3,1,1993.9,93.7,117.3,758.7,114.2,218.4,1151.8,1756,1778.2,393.4,1056.3,61.8,2210.5,1190.4
GTF2B,1,142,166.8,986.9,323.2,372.2,262.2,84.2,152.8,299.2,178.1,86.8,156.6,246.4,195.3
GATA2,3,349.1,121.1,167.1,48,180.5,80.2,625.4,182.9,284.7,236,189.2,196,323.6,460.6
GATA2,3,209.4,1307.4,1531.3,354.6,1099.8,1086.3,650.6,200.9,185.3,102.1,137.1,399.8,234.7,257.6
TCEA1,8,882.5,632.6,302.1,523.7,783.6,613.8,478.7,1467.3,1671.3,2182.1,602.8,1017.3,1497.4,645.4
RAB1A,2,108.5,36.8,211.4,77.6,119.5,21.1,56.4,183.4,518,163,67.6,119.9,419.9,650.4
IFNA16,9,36.5,135.3,88.7,307.4,974.6,645.4,496.6,68.5,39.3,13.1,80.6,13.1,25.3,129.4
IL1A,2,36.3,132.5,29.4,40.6,57.3,337.7,238.9,6.1,27.1,23.9,12.7,63.3,80.3,114.7
RAG1,11,6.2,284.2,51.9,198.4,80.6,22.6,58.5,4.6,3.2,3.2,11.1,9.5,8.1,13.4
PRLR,5,15.7,90.7,245.2,14.4,42.9,122.8,63.4,7.9,10.7,6.5,5,13.6,3.2,37
PRLR,5,55.7,497.4,106,119.1,308.4,260.7,564.1,22.4,44.3,26.2,14.8,87.9,55,55.3
RAB40AL,X,150,47.3,1987,339,191.5,153.9,116.2,25.2,32,20.9,103.6,73.4,25.7,28.7
CYP1A2,15,4.6,41.7,42.1,36.9,58.2,26,31.6,9.3,2.6,8.3,6,9.6,12.6,8.7
ODC1,2,1026.8,402.2,916.1,366.7,465.6,480.2,440,3698.5,3907.2,712.3,623.6,1337,2926,3583.9
PLCG1,20,141.4,89.1,147.8,134.3,425.3,198.7,77.2,116.3,286.8,77.3,12.6,28,176.1,143.3
MUC1,1,254.6,1221.1,1615,658.1,1628.9,670.4,742.2,154.3,133.9,146.1,192.7,419.3,141.4,156.2
ABL2,1,22.7,109.9,31.8,26.6,67.5,66,79.9,17.1,21.6,21.7,28.8,18.8,8.9,126.5
PLCG2,16,341.3,989.2,1124,400,278.1,738.5,632.5,362.5,193.3,189.9,149.3,448.5,237.5,120.3
CSF2RB,22,25.7,91.2,74.7,70.2,138.7,86.1,52.4,35.3,13.6,19.8,18.7,23.6,14.6,48.8
EPOR,19,534.7,85.8,92.3,29.8,119.1,233.2,302.4,9.7,242.1,175.1,9.6,323.7,647.3,234.7
BDNF,11,38.7,91.9,63.9,245.7,41.3,91.6,23.1,4.5,8.7,62.1,7.2,66.1,49.9,72.5
NA,NA,387.5,1113.3,2986.5,144.7,99.6,73.9,82.8,264.5,8.5,21.5,288.5,32.9,173,322.3
NA,NA,195.5,455.7,134.4,97.5,451.7,255.5,242,158.7,692,69.8,75.4,48.4,708.9,250.6
NA,NA,59,389,485.6,315.1,726.4,365,510.4,11.9,51.3,63.7,28.1,182.2,36.5,66.4
PRKAR1B,7,1255,2470.4,437.8,3512.4,1332.1,2549.3,1806.4,1103.2,1325.4,1194.6,1703.6,1190,1008.4,735
EDN2,1,1400.2,1943,528.7,1912.7,909.5,533.3,533.2,926.3,979.9,752,1792.5,165.2,165.4,218.3
PPP2R1B,11,13.8,9.2,138.5,260,130.9,88,74.1,41.2,48.3,52.6,28.3,9,23,79.2
PPP2R1B,11,74.5,212.5,103.9,195.1,485,170,142.2,192.3,175.4,164.5,119,56.6,69.2,85.7
HGF,7,3.8,18.7,128.7,117.3,46,32.4,13.3,14.6,15.9,3.2,3,10,0.6,39.3
CD19,16,31.1,637.2,764.6,499,1268.6,1055.6,761.4,113.8,140.9,130.5,262.4,349,332.9,427.3
CCR7,17,206.6,932.6,1004.5,188.7,1245.9,423.7,314.6,128.2,87.8,82.6,76.8,105.8,49.2,82.8
THPO,3,7,159.8,480.5,31.5,39.8,42.2,17.6,6.2,3.9,4.5,13.5,17.5,7.5,62.3
NA,NA,38.5,98.5,140.6,48.4,75.5,113,92.5,91.3,23.5,459.1,30.3,248.9,268.5,114.4
RABEPK,9,799.7,258.1,528.8,416.7,146.9,239.4,263.4,1319.4,884.2,642.1,578.8,416.1,696.5,368.2
IRAK1,X,428.6,154.1,155.2,605.7,78.6,90.3,554.2,600.2,612.6,243.8,468,684.2,329,240.3
APBB1,11,588.7,569.5,1131.1,116.3,847,959.9,887.4,336.4,554.5,266,248.6,524.7,973,208.6
NR3C1,5,138.2,46.1,148.5,19.7,187.2,196.3,47.3,20.5,103.9,91.6,25.6,224,123.4,52.8
ANG,14,9.8,81.9,112,13.1,62.9,93.4,46.8,7,13.1,5.2,13.9,275.1,137.1,17.6
NA,NA,4433,131.7,49.9,61.5,125.6,42.4,252.3,10488.2,714.4,4477,474.7,716.5,1493.9,1890
NA,NA,395,2393.4,2649.4,767.5,3466.3,1586.3,2343.2,590.8,402.9,908.2,645.5,1280.2,247.1,222.8
TRAC,14,312.2,1110.3,1594.1,906.5,1238.8,1063.7,572,358.9,156.4,427.9,211.7,531.8,251.4,155.1
ISG15,1,836.9,1269.7,1269.6,1261.4,893,834.4,2769.9,1379.1,672.6,737.3,962.2,2011.2,626.3,664
EPHA1,7,15.1,56.8,128.7,86.4,80.2,58.5,77,20.4,15.2,10.4,36.7,67.4,14.5,120.5
PDGFA,7,124,160.6,163.7,144.4,172.3,59.4,99.4,26.4,36.9,11.9,57.8,57.9,16.6,19.1
CSPG4,15,92.1,637.8,329,316.7,830.4,447.2,1407.1,170.9,109.4,108.1,108.9,543.1,316.8,269.2
TRDV2,14,100,225.4,508.1,985,433.9,311.2,386.7,82.7,125.5,123.9,1538.3,191.3,104.5,67.5
NCAM1,11,38,88,830.1,90.7,229.5,432.5,110.4,62.3,13.2,11.9,60.4,29.8,11.1,53.6
NCAM1,11,98.7,533,720.6,363.6,578.6,413.7,259.3,97,78,21.1,92.5,82.9,123.7,20.8
BMP2,20,10.3,46,39.9,59.3,87.4,13.6,50.5,19.9,7.8,2.4,4.5,372,12.5,14.6
BMP4,14,7.8,500.6,468.8,100.2,449.2,579.9,323.8,70.3,87.9,87.5,59.9,150,18.8,37.4
PF4,4,16.1,496.6,125,399.3,834,129.5,358.7,125.5,153.5,93.5,21.3,169.3,97.5,110.7
NA,NA,222.6,2061.7,419.6,477.3,3048.5,2880.7,1516.4,239.1,264.4,210.2,290.1,684.8,641,1217.3
CDA,1,154.1,468.9,393.2,161,385.8,68.6,232.5,232.9,122.3,77.6,107.9,38,102.3,213.2
PTGER4,5,195,623.6,510.7,372.9,527.9,679,552.1,80.4,91,87.8,60.3,241.5,145.2,29.9
RPA2,1,221.9,326.4,452.2,183.5,172.2,229.4,361.3,1017.1,1143.4,627.4,237.6,224.7,1298.2,543.2
RABGGTA,14,264.2,50.8,947,455.3,179.6,191.3,36,303.3,730.3,89.6,213.5,247.5,497,328
GSTM3,1,798.9,1047,741.1,1205.7,425.9,264.8,644.7,148.9,407.4,248.7,607.5,258.2,1050.4,235.4
GSTM3,1,512.9,98.3,119.4,42.3,140.7,43.6,131.5,134.5,222.2,154.4,378,56.9,1010.6,160.8
NA,NA,444.5,1882.2,561.7,865.2,1654.3,2393.5,1369.9,355.9,568.2,388.7,515.5,737.7,502.7,704.4
GHRHR,7,201.4,229.7,158.8,56.9,405.8,281.8,186.9,63.4,42.8,43,71.8,60.1,33.4,59.7
MLL,11,144.9,231.6,220.1,629.1,253.1,483.9,189.4,113.9,219.6,146.2,205.7,206.3,790.4,614.9
CD44,11,13.1,281,39.1,145.7,207.7,482.1,339.7,70.9,4.5,10.4,35.6,177.3,52.8,66.9
CD44,11,44.6,207.5,521.2,107.5,145,49,50.4,107.1,6.2,88.8,136.2,367,56.5,124.7
RPS6KA1,1,385.3,1789.5,999.3,1213.3,2449.8,2245.5,1049.5,1002.5,461.9,540.1,909.2,1811.3,515.1,464.6
CCR1,3,175.9,182.3,631.6,567.7,264.9,165.8,119.6,41.4,136,108.7,148.8,107.4,31.8,53.1
GBX1,7,25,93.6,125.9,75.7,89.9,74,66.8,18.5,28.7,16.1,24.7,29,21,38.7
TAF1,X,36.6,13.5,1046.4,127,44.3,200.2,39.9,31.1,18.1,6.1,10.5,61.2,2.5,6.7
MAP2K1,15,263.7,78.8,1115,45.7,184.7,275.2,517.2,644.2,527.8,437.4,186.3,663.7,690.3,846.1
MAP2K2,19,666.5,644.9,2071.1,3020.2,876,1300.4,1018.4,1056.6,1336.9,613.5,652,798.1,1575.8,1305.9
RARG,12,39,207.1,174,340.4,237.3,145.8,168.9,39.6,127.7,132.4,62,40.2,189.5,93.7
EN2,7,36.3,41.1,604.5,182.6,77.1,236.4,57.7,24.9,18.5,7.2,33.7,48.5,26.4,77.5
TNK2,3,1181.1,2367.9,1876.2,2143.6,2250.5,2578.2,2171.3,1107.8,1141.8,1036.3,2389.8,1076.8,625.7,930
GRK5,10,3188.9,973.5,567.7,3455.5,256.7,142.3,389.5,1881.4,1560.2,1481.5,2054.2,2823.3,2000,2914.8
DTYMK,2,1277.7,310.1,317.4,1362.3,1061.6,827.8,711.5,1128.1,315.8,307.8,916.2,706.7,460.1,433.4
SLC20A2,8,81.3,171.3,239.4,26.5,170.1,177.9,42.2,135.9,539.8,332.5,62.5,194.5,120.7,21.7
SLC20A1,2,1018.4,272.4,137.1,1282.9,345.8,227,649.6,2314.4,1014.3,1619.9,1283.4,867.5,546.5,566.1
GNA13,17,6.2,17.9,80.4,16.9,80.2,74.6,35.8,8.7,50.7,5.6,9,24.2,14.6,17.7
MAPT,17,63.5,53.3,505.3,395.6,297.9,288.1,58.9,104.3,49,32.7,78.6,69.9,132.5,99.3
ITGAE,17,480.6,45,110.9,271.9,119.4,28.6,31.6,461.4,285.4,197.8,174.8,178,311.9,227.2
MC5R,18,190.1,889.6,91.4,525.6,1623.4,1115.1,1104.9,183.9,215.9,131.4,225.3,232.6,149.3,264.1
NA,NA,175.4,850.7,560.5,267.9,1087.7,601,658,190.5,187,100.6,89.4,78.6,208.7,218.5
FGFR2,10,31,78.3,319,257.4,457.5,259.3,157.4,89.3,5.3,45.5,7,90.4,50.6,68.1
FGFR2,10,22.7,251.7,88,85.5,126.6,86.3,81.5,84.7,17.4,35.4,20.2,18.9,42.4,21.5
FGFR2,10,17.7,127,130.2,52.5,145.5,131.2,68.6,16.4,7.5,12.8,21.3,28.6,18.1,23
CD4,12,35.4,178.2,488.4,486.4,706.2,392.5,109.6,80.3,24.2,62.8,14.8,32.3,54.3,91
NR2F1,5,7.5,12,98,113.4,24.1,83.3,173.9,2.6,31.6,1.4,32.1,207.8,2.1,87.2
NRG1,8,435.8,640.9,80.5,479.8,758.7,446.4,402.2,191.4,308.9,288.3,186.9,193.9,78.7,25.7
TFEB,6,8.1,28.8,62.2,26.6,36.2,22.7,27.2,4.5,8.2,3.9,12.8,12.1,12.2,13.7
MAPT,17,13.8,32.6,927.6,44.3,62.3,96,40.2,11.6,4.5,2.4,6.4,14.3,6.7,15.7
PTPRE,10,88.1,240.2,141.6,12.6,106.3,331.5,309.2,67,82.3,35.7,48.3,141.7,66.3,49
RPL22,1,3281.2,1553.6,769.9,1562.3,781.9,1864.3,1803.4,4813.1,9795,1907.4,2524.2,1938.7,5365.2,4213.7
NA,NA,7.3,22.7,200,80.9,47.9,55.9,140.2,10.8,15.1,19.1,13.3,6.9,17.8,38.6
NA,NA,184.7,413.4,268.1,342.6,489.8,296.8,271.6,171.7,187.9,127.6,380.1,131.3,124.4,80.9
EIF2S1,14,392.6,822.9,166.8,299.4,576.7,422,699.1,722.9,265.3,297,292.6,271.2,296.8,301.3
NA,NA,396.2,2306.2,412.9,1122.6,1676.3,735.8,1620.6,324.6,150.9,359.4,414.2,495.6,155.8,141
SP1,12,39.9,614.9,138.7,27.7,684.1,259.4,387.4,31.1,78.4,41.6,111,23.5,72,21.8
IFNAR1,21,103.7,298.8,63.7,54.6,83.6,71.3,238.5,213.2,127,89.9,68.6,109,62.3,155.9
CALM3,19,989.1,1017.2,1237.3,1012.5,514.4,533.3,942.8,813.7,1051.6,779.4,390.2,963.7,1221.7,352.8
IL7,8,3.5,8.3,389.6,8.4,67.8,303.9,14.9,2.1,4.7,1.8,9.5,31.4,5.6,5.8
THBS1,15,18.7,70.3,92.5,33,151,51.1,76.1,17.7,31,33.8,28.4,34.4,10.9,27.9
CYC1,8,1044.8,744.7,44,656,632.6,373.8,1093.3,2483.1,2132.1,1256.4,1447.1,472.6,1714.1,1164.8
HSP90AB1,6,1625.1,1287.5,258.9,196.2,545.2,1169.2,1817.3,8398.5,7895,2914.2,2718.6,2288.3,11692.3,3032.1
GNL1,6,420.8,254,365.6,1526,142.5,255.3,347.4,687.7,1001.6,309.9,957.8,262.4,1867.8,627.1
PIK3CB,3,49.4,400,1009,185.1,539.9,499,439.2,79.9,149,41.7,32.4,151,77.8,74
UBE2D1,10,118.3,235.1,412.6,72.7,103.4,586.8,237.9,83.8,183.4,67.4,26,46.5,121.6,100.4
IL18,11,28.4,26.8,194,37.3,293.1,149,96.2,12.4,29.9,10.3,9.7,163.4,10.2,5.3
PSMD2,3,2175.8,1564.9,1909,1672.2,1026.1,1200.2,2466.5,3864,2090.8,1268.8,1967.9,1425.4,1888.2,1076.6
MMP15,16,712.5,1798.3,1400.4,770,2885.8,1085.1,1452,828.2,597.1,438.1,641,489.7,472.1,371
PCDHB17,5,82.5,251.3,425.2,115.9,316.8,315.9,402.9,41.1,72.1,63.3,117.8,78.9,77.1,150.1
PCDHGB7,5,128,756.5,1153.2,701.1,1165.3,504.2,590.7,111.2,112.8,62.3,206.5,231.5,141.2,143.1
PRKAR2A,3,65.8,47,867.4,23.4,322.3,187.4,155.2,77,55.7,29.6,40.1,20.7,99.6,60
CSF1,1,199.5,911.9,374,789.9,1355.9,827,748.2,149.1,130,198.5,179.7,276.9,167.8,184.9
POU2F1,1,221.8,633.9,1316.2,83.6,563.3,1114.4,968.8,119.5,103.1,138.6,146.5,414.8,671.6,513.5
SAT1,X,49.6,172.6,128.1,68.7,201.6,181.7,404.7,26.6,60.4,25.2,80.5,51,35,120.7
SAT1,X,3349.6,915.9,2890.3,676.1,879.1,1490.4,1850.7,1194.4,2127.2,3632.9,2546.1,15202.5,2049.5,4859.6
MOS,8,66.8,46.4,652.5,77.6,77.4,82.4,28.9,7.4,30,7.9,11.2,28.3,5.3,8.8
CYP2C8,10,80.5,81.1,562.8,52,289.9,305.9,160.1,26.9,853.2,14,21.5,70.3,6.7,29.1
ITGB3,17,89.7,490.6,310.6,383.7,606.9,583,702.2,118.7,77.9,108.4,22,293.5,100.4,297.9
NA,NA,117,766.2,897.9,868.4,799,1391.5,731.7,172.1,207.8,90.5,200.9,230.3,75.2,286.4
DHFR,5,91.2,35.2,21,191.6,242.2,50.1,65.8,488.5,323.6,127.9,66,30.2,169.7,322.5
HSPA8,11,3198,1094.9,15.9,54.8,10.4,182.2,2055.4,8731.6,9784.6,1586.7,2975.3,1431.3,12324.1,6112.8
HSPA6,1,654.7,446.6,127.2,48,132.2,88.4,371.7,27.1,58.7,144.6,136.4,232.7,121.5,174.7
HSPA8,11,15941.9,6518.1,1284.4,1013.9,283.6,759.1,4944.3,13803.8,10554.9,5316.6,13692.3,8393,12916,18316.2
GNL1,6,567,94.2,276.4,3047.5,106.1,214.1,188.6,324.2,388.1,307.3,935.1,347.5,554.7,601.5
PLCL1,2,27.6,155.5,539.4,163,306.5,286.7,175.1,9.8,9,41.1,36.5,57.6,55.5,43.5
CCL17,16,11.5,62.6,91.8,178,96.7,87.4,118,39.6,14.6,5.2,18.9,65.1,15.7,10.9
PSME2,14,2014.3,1361.1,2362.1,1069.5,640.8,1596.2,2518.7,1114.8,2415.5,1354.3,2172.3,2751.3,1844.2,369.3
IL3RA,"X, Y",209.1,379.7,1362.2,607.1,324.5,595.7,528.6,301.3,126.7,301.9,208.5,822.4,187.6,118.2
GDF10,10,1325.6,137.3,55,66.3,77.3,36.2,71.9,10.7,9.4,873.5,131,73.3,646.6,88.7
LIG3,17,436.4,942.2,1135.2,516.2,504.6,909.2,264.9,246.9,525.1,356,373.3,272.9,165.5,199.5
LIG3,17,183.1,67.6,62,116.4,125,83.9,77.5,31.3,291,242.1,294.5,24.1,142.1,57.7
CDK8,13,135.9,373.7,76.1,57.3,505.2,434.1,174.9,142.4,199.3,68.2,82.9,206.1,167.7,206.4
ITPKA,15,139.4,105.3,751,357,164.2,86,100,28,20.9,14.3,26.5,34,80.8,40.9
PTPRO,12,5.3,22.9,23,32.4,345.6,14.3,139.9,8.1,24.1,6,5.1,81.6,7.5,9.2
PSMD11,17,11.1,66.1,50.6,22,50.8,52.7,36.8,14,173.4,105.1,36.1,331.4,1300.6,961.5
PSMD12,17,232.5,523.7,92.4,217.7,816.5,432.1,707.9,779.6,683.1,863.3,223.4,632,1252.3,576.8
UBE3A,15,22.8,138.7,94.9,56.3,107.9,82.8,182.9,15.4,19.1,13.1,14.5,57.7,21.7,24.7
UBE3A,15,54.8,38.2,31.7,184.7,209.7,40.8,75.8,8.1,83.2,12.6,37.6,52.8,52.6,97.4
ITGB1BP1,2,193.6,328.3,477.6,168.2,321.2,220.8,195.1,181,294.9,262.9,119.9,276.1,162.4,113.1
RCC1,1,296.9,572.5,134.3,74.3,561.8,468.5,443.1,1629.9,350.1,223.1,233.8,208.8,268.1,412.8
ACTG2,2,14.2,214.1,22.1,21.9,102.8,34.1,284.7,45,108.1,68.4,16.8,143.2,9.6,3218.6
EDNRB,13,101,25.4,82.5,10,62.7,113.8,13.1,11.8,16.9,57.3,28.8,262.5,45,20.3
EIF4A1,17,3004.3,994.9,697.5,2203.5,131,1133.2,1903.4,7513.1,8913.1,2252.5,1778.5,1690.4,9421.5,6646.1
NA,NA,143.6,683.8,1027.6,462.4,375.8,159.5,872.3,110.8,163.2,70.7,109.7,248.7,89.5,56.2
GLI2,2,125.9,740.3,174.1,506.3,94.6,111.2,110.4,44.9,52.8,54.1,29.6,174.9,17.5,21.9
